#Wavelength [nm]	White Std.	Dark spec	0[s]	20.578[s]	40.667[s]	60.747[s]	80.814[s]	100.892[s]	120.956[s]	141.017[s]	161.122[s]	181.21[s]	201.3[s]	221.359[s]	241.466[s]	261.615[s]	281.707[s]	301.819[s]	301.831[s]
455.211	22795.9	1033.56	1984.87	1965.74	1991.54	1950.34	1978.54	1972.14	1927.74	1924.94	1915.74	1966.14	1972.54	1961.14	1884.34	1915.74	1939.34	1883.54	1883.54
455.479	21681.6	1038.36	1940.57	1906.44	1925.84	1901.84	1891.84	1846.44	1847.64	1859.04	1866.24	1881.64	1816.04	1863.24	1863.44	1846.04	1861.24	1846.84	1846.84
455.747	21813.5	1032.64	1952.43	1944.56	1908.56	1941.36	1893.96	1860.76	1891.96	1882.96	1881.16	1876.96	1814.36	1891.16	1873.16	1841.96	1843.36	1848.06	1848.06
456.016	21753.6	1040.75	1951.93	1946.2	1919.2	1904.6	1932	1911.8	1901	1881.2	1885.6	1865.6	1913	1896.6	1884.2	1904.6	1847.2	1843	1843
456.284	20947.2	1039.64	1918.69	1831.22	1859.42	1853.42	1840.42	1843.02	1856.82	1827.82	1823.62	1816.82	1795.82	1808.22	1855.62	1839.22	1856.22	1840.82	1840.82
456.552	20825.3	1027.8	1903.53	1876.6	1876.8	1856.6	1851.6	1857	1856.2	1856.4	1857.2	1840	1840	1845.4	1816.8	1828.4	1811.4	1833	1833
456.82	20055.3	1035.28	1858	1818.2	1799.6	1816.2	1754.2	1786	1791	1767.8	1793.6	1772.4	1750	1747.2	1759.6	1785.8	1770.6	1779.2	1779.2
457.088	19285	1027.92	1795.73	1750.46	1720.86	1735.86	1717.26	1750.46	1735.26	1742.26	1718.46	1706.66	1737.66	1711.66	1711.06	1700.66	1716.26	1726.46	1726.46
457.356	19201.7	1034.32	1800.92	1727.72	1706.52	1724.52	1737.92	1711.32	1736.92	1721.32	1709.12	1698.32	1716.72	1685.12	1709.32	1722.72	1728.92	1677.72	1677.72
457.624	18906.7	1038.14	1783.65	1760.85	1720.45	1740.65	1746.45	1732.45	1714.45	1702.85	1699.25	1698.65	1738.85	1652.45	1664.65	1675.25	1685.85	1690.85	1690.85
