#Wavelength [nm]	White Std.	Dark spec	0[s]	19.307[s]	39.359[s]	59.449[s]	79.534[s]	99.569[s]	119.606[s]	139.731[s]	159.762[s]	179.874[s]	199.916[s]	219.971[s]	240.047[s]	260.146[s]	280.297[s]	300.409[s]	300.426[s]
453.331	25412.9	1030.28	1915.25	1891.72	1882.12	1901.32	1851.92	1787.72	1874.32	1805.12	1841.32	1827.92	1808.92	1840.72	1844.92	1760.72	1819.12	1833.52	1833.52
453.6	24989.8	1042.54	1901.29	1836.56	1872.16	1840.56	1878.96	1823.96	1822.76	1769.96	1824.56	1793.76	1810.36	1822.16	1788.96	1818.76	1762.76	1791.56	1791.56
453.868	24542.7	1035.98	1876.22	1872.62	1851.22	1853.82	1783.82	1788.82	1823.82	1833.82	1808.42	1794.22	1766.22	1766.02	1762.62	1809.22	1767.62	1787.22	1787.22
454.137	24320.4	1035.54	1861.3	1835.7	1805.7	1823.7	1783.7	1829.1	1778.9	1821.7	1805.3	1778.7	1782.9	1769.9	1733.9	1772.5	1774.3	1800.3	1800.3
454.405	23810.9	1037.3	1844.26	1778.46	1787.46	1773.06	1807.06	1741.66	1701.86	1766.86	1778.26	1758.66	1762.06	1743.06	1720.46	1745.06	1709.66	1736.06	1736.06
454.674	23436.6	1043.02	1810.13	1794.16	1788.86	1752.66	1731.66	1734.86	1757.66	1740.66	1728.86	1702.46	1739.06	1730.26	1737.46	1732.46	1709.46	1711.26	1711.26
454.942	23098.7	1035.38	1797.31	1766.58	1733.98	1762.98	1781.98	1726.38	1728.38	1757.18	1710.58	1718.18	1661.78	1710.18	1730.58	1720.58	1676.78	1704.18	1704.18
455.211	22795.9	1034.56	1794.17	1772.3	1781.5	1744.9	1718.3	1744.3	1705.1	1737.7	1702.5	1690.3	1700.1	1741.1	1715.9	1698.7	1693.3	1698.5	1698.5
455.479	21681.6	1046.44	1712.23	1675.3	1700.5	1664.7	1650.9	1654.3	1670.1	1659.5	1613.9	1612.1	1606.1	1623.9	1648.1	1632.7	1624.5	1608.3	1608.3
455.747	21813.5	1034.82	1715.99	1698.72	1735.32	1689.92	1682.72	1677.92	1642.52	1680.72	1666.72	1637.92	1647.92	1664.12	1612.32	1607.92	1631.32	1658.12	1658.12
456.016	21753.6	1032.22	1723.71	1724.64	1695.44	1699.64	1671.64	1668.44	1636.84	1688.64	1662.64	1668.24	1684.44	1677.04	1640.44	1656.84	1627.44	1636.84	1636.84
456.284	20947.2	1033.52	1691.05	1685.72	1662.12	1656.12	1616.12	1627.12	1639.52	1643.12	1650.32	1623.32	1622.52	1589.92	1600.92	1612.32	1566.72	1603.32	1603.32
456.552	20825.3	1037.52	1671.29	1666.76	1668.56	1637.16	1656.76	1633.96	1635.16	1619.96	1623.36	1612.56	1659.96	1601.16	1576.16	1628.36	1579.96	1590.96	1590.96
456.82	20055.3	1033.6	1611.14	1580.34	1605.14	1559.74	1548.34	1561.34	1563.34	1568.74	1532.54	1579.14	1543.54	1561.54	1562.34	1552.14	1533.94	1544.14	1544.14
457.088	19285	1037.24	1555.97	1530.9	1530.9	1542.5	1563.5	1518.1	1493.7	1538.5	1500.3	1527.1	1507.7	1472.9	1511.1	1466.7	1484.1	1461.7	1461.7
457.356	19201.7	1034.92	1578.23	1560.16	1565.36	1496.96	1534.96	1543.36	1528.36	1510.96	1540.76	1528.36	1519.56	1497.96	1518.16	1505.96	1513.76	1508.56	1508.56
457.624	18906.7	1033.46	1594.71	1533.58	1527.78	1500.98	1495.98	1516.98	1495.18	1487.18	1542.98	1478.58	1490.78	1478.98	1497.78	1471.38	1503.18	1439.98	1439.98
457.892	18587.7	1032.96	1557.11	1538.64	1542.04	1537.64	1504.84	1498.04	1454.04	1464.44	1434.04	1465.24	1469.84	1448.24	1466.84	1481.64	1469.04	1428.84	1428.84
458.16	17760.1	1034.68	1504.69	1469.36	1467.76	1461.56	1366.76	1441.76	1462.16	1416.36	1418.96	1423.76	1426.36	1390.16	1401.96	1411.56	1404.16	1417.56	1417.56
